Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
,,,
CHING KUNG HIM WO GARMENT FACTORY LIMITED ,精工謙和製衣廠有限公司 ,"253,275.00",11
,,,
CHING LAN INTERNATIONAL LIMITED ,清藍國際有限公司 ,"49,500.00",2
,,,
CHING LEUNG TRADING LIMITED ,精亮貿易有限公司 ,"81,000.00",3
,,,
CHING MEI INDUSTRIAL CO ,晶美實業公司 ,"67,500.00",3
,,,
CHING MEI OPTICS LIMITED ,晶美光學有限公司 ,"126,000.00",5
,,,
CHING NGA (HK) ALUMINIUM ENG CO LIMITED ,精雅(香港)鋁質工程有限公司 ,"182,310.00",9
,,,
CHING NGAI GLASS CO LTD ,精藝玻璃有限公司 ,"328,137.00",14
,,,
CHING NGAI JADE JEWELLERY CO. ,精藝玉器珠寶公司 ,"65,550.00",3
,,,
CHING NGAI JEWELLERY COMPANY ,晶藝珠寶行 ,"19,500.00",1
,,,
CHING SUN TEXTILE (HONG KONG) COMPANY LIMITED ,正新紡織(香港)有限公司 ,"10,500.00",1
,,,
CHING WAH COMPANY LIMITED ,精華鈕扣有限公司 ,"31,950.00",2
,,,
CHING Y WONG ,,"81,000.00",3
,,,
CHING YING PRO LIMITED ,,"27,000.00",1
,,,
CHING YIP INVESTMENT LIMITED ,展業投資有限公司 ,"9,000.00",1
,,,
CHINLINK HONG KONG COMPANY LIMITED ,普匯中金(香港)有限公司 ,"529,830.00",21
,,,
CHINOLOGY HAIR STUDIO ,,"78,000.00",4
,,,
CHINOTECH (HK) LTD ,盛龍科技(香港)有限公司 ,"282,885.00",11
,,,
CHINSBO DEVELOPMENT LIMITED ,祥本發展有限公司 ,"16,500.00",1
,,,
CHINSON COMPUTER SYSTEM ,超訊電腦 ,"18,900.00",1
,,,
CHIRON EYE CENTRE LIMITED ,楷和眼科中心有限公司 ,"107,775.00",4
,,,
CHIRON ONCOLOGY CENTRE LIMITED ,楷和腫瘤中心有限公司 ,"54,000.00",2
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CHIROPEDO HEALTH CENTER LIMITED ,德高醫療中心有限公司 ,"45,600.00",2
,,,
CHISWICK METAL WORKS LIMITED ,致誠金屬製品廠有限公司 ,"243,000.00",9
,,,
CHIT SHING CONTRACTING LTD. ,捷成建築工程有限公司 ,"127,500.00",5
,,,
CHIT SHING TRADING COMPANY ,捷誠電器貿易公司 ,"27,000.00",1
,,,
CHIT SHUN SUPPLY PARTY COMPANY LIMITED ,捷迅行有限公司 ,"36,000.00",2
,,,
CHIT WING TECHNOLOGY GROUP COMPANY LIMITED ,捷榮科技集團有限公司 ,"54,000.00",2
,,,
CHITALY FURNITURE LIMITED ,中意傢俬有限公司 ,"234,750.00",9
,,,
CHITWING MOULDING INDUSTRY (HK) LIMITED ,捷榮模具工業(香港)有限公司 ,"270,000.00",11
,,,
CHIU & CO. ,趙凱珊律師行 ,"228,000.00",9
,,,
CHIU CHOW DISPENSARY LIMITED ,潮州大藥房有限公司 ,"162,000.00",5
,,,
CHIU FUNG CAR PARTS COMPANY ,釗鋒汽車零件貿易公司 ,"27,000.00",1
,,,
CHIU FUNG FAT TRADING LIMITED ,潮豐發貿易有限公司 ,"66,900.00",5
,,,
CHIU HANG HARDWARE TRADE LIMITED ,超恆五金貿易有限公司 ,"45,000.00",3
,,,
CHIU KEE ,潮記 ,"153,000.00",6
,,,
CHIU KEE FOOD (HK) LIMITED ,潮記食品(香港)有限公司 ,"514,878.00",22
,,,
CHIU LUEN METAL WORKS COMPANY LIMITED ,超聯五金製品廠有限公司 ,"189,000.00",7
,,,
CHIU MING PLASTIC & METAL FACTORY LIMITED ,昭明塑膠五金廠有限公司 ,"54,000.00",2
,,,
CHIU YAN HONG LIMITED ,潮仁行有限公司 ,"103,650.00",5
,,,
CHIU YIN SECRETARIAL SERVICES COMPANY LIMITED ,超然秘書服務有限公司 ,"119,250.00",5
,,,
"CHIU, CHUN WAH ANDREW ",趙俊華 ,"27,000.00",1
,,,
CHIU'S TIN SHING (CHINA & H.K.) TRANSPORTATION LIMITED ,趙氏天成(中港)運輸有限公司 ,"56,700.00",3
,,,
CHK CORPORATE SERVICES LIMITED ,中港商業服務有限公司 ,"27,000.00",1
,,,
CHLOE EVERETT COMPANY ,,"17,076.00",1
,,,
CHLOE HOUSE COMPANY ,盈之屋零食專門店 ,"93,600.00",5
,,,
CHO LING ENGINEERING CO ,卓靈工程公司 ,"21,771.00",1
,,,
CHOCA MILKA LIMITED ,,"27,000.00",1
,,,
CHOCOLATE EDUCATION LIMITED ,朱古力教育有限公司 ,"81,000.00",3
,,,
CHOCOLATE KOALA LIMITED ,朱古力樹熊有限公司 ,"12,750.00",1
,,,
CHOENG MEI DESIGN LIMITED ,創美設計有限公司 ,"273,981.00",25
,,,
CHOG KEI ENGINEERING COMPANY ,創紀工程公司 ,"30,000.00",2
,,,
CHOI CHING LANDSCAPE COMPANY LIMITED ,彩晴園藝有限公司 ,"77,490.00",4
,,,
CHOI CHOI HEALTH PRODUCT LIMITED ,菜頭健康產品有限公司 ,"27,000.00",2
,,,
CHOI DESIGNS LIMITED ,,"161,979.00",7
,,,
CHOI HUNG ROLLER GATE & BLACKSMITH FACTORY LTD ,財雄捲閘鐵工廠有限公司 ,"135,000.00",5
,,,
CHOI KEE (HONG KONG) COMPANY LIMITED ,材記(香港)有限公司 ,"54,000.00",2
,,,
CHOI KEE (MONG KOK) MAXICAB ROUTE PLB LIMITED ,財記(旺角)專線小巴有限公司 ,"731,259.00",29
,,,
CHOI KEE (YUEN LONG) MAXICAB ROUTE PLB LIMITED ,財記(元朗)專線小巴有限公司 ,"508,701.00",23
,,,
CHOI PIK DECORATIVE PAINTS COMPANY ,彩壁藝術顏料公司 ,"27,000.00",1
,,,
CHOI PUI WAH ,蔡培華 ,"57,384.00",3
,,,
CHOI SEE BEAUTY ,採絲美容 ,"16,950.00",1
,,,
CHOI SHUN HIN ACCOUNTING & SECRETARIAL CO ,彩順軒會計秘書事務所 ,"52,800.00",4
,,,
CHOI SHUN TECHNOLOGY (HK) LTD ,采訊科技(香港)有限公司 ,"77,850.00",4
,,,
CHOICE WELL INTERNATIONAL LTD ,彩浩國際有限公司 ,"297,000.00",11
,,,
CHOICES INTERIOR DESIGN LIMITED ,才思設計廔有限公司 ,"26,250.00",1
,,,
CHONG FAI GLOBAL LIMITED ,創輝環球有限公司 ,"54,000.00",2
,,,
CHONG FAI INDUSTRIAL COMPANY LIMITED ,莊輝實業有限公司 ,"313,350.00",13
,,,
CHONG FAI JEWELLERY & GOLD COMPANY LIMITED ,創輝珠寶金行有限公司 ,"1,139,844.00",48
,,,
CHONG FAT MANAGEMENT COMPANY ,創發管理公司 ,"67,500.00",13
,,,
CHONG FENG TRADING COMPANY LIMITED ,創豐時裝有限公司 ,"81,000.00",4
,,,
CHONG FUNG ENGINEERING COMPANY ,創峰工程公司 ,"27,000.00",2
,,,
CHONG FUNG FURNITURE COMPANY LIMITED ,創峰傢俬裝飾有限公司 ,"146,589.00",6
,,,
CHONG HOP HING GEOTECHNICS LIMITED ,,"270,000.00",10
,,,
CHONG KEE CONSTRUCTION CO LTD ,莊記建築有限公司 ,"48,000.00",2
,,,
CHONG KEE DECORATION & DESIGN CO LTD ,莊記裝飾設計有限公司 ,"39,000.00",2
,,,
CHONG KIN AIR‐CONDITION (HONG KONG) CO. LIMITED ,創建冷氣(香港)有限公司 ,"316,302.00",12
,,,
CHONG KIN ENGINEERING DESIGN LIMITED ,創建工程設計有限公司 ,"81,600.00",4
,,,
CHONG MI LING MABEL ,,"27,000.00",1
,,,
CHONG NING INSTRUMENTS COMPANY LIMITED ,昌寜科儀有限公司 ,"242,859.00",11
,,,
CHONG SIN E.P. ENGINEERING COMPANY ,創先環保工程公司 ,"22,500.00",1
,,,
CHONG YIP CONSTRUCTION LTD ,創業建設有限公司 ,"693,000.00",34
,,,
CHONGBANG DEVELOPMENT LIMITED ,崇邦房地產發展有限公司 ,"162,000.00",6
,,,
CHOOSING PORCELAIN CO. LIMITED ,昌興陶瓷有限公司 ,"162,000.00",6
,,,
CHOPSTICKS COMPANY LIMITED ,喜筷有限公司 ,"161,361.00",6
,,,
CHOPSTIICKS DESIGN AND PRODUCTION LIMITED ,,"75,000.00",3
,,,
CHOR DYNASTY LIMITED ,左氏皇朝有限公司 ,"170,250.00",7
,,,
CHOR HING TRADING LIMITED ,創興貿易行有限公司 ,"27,000.00",1
,,,
CHOR PAK HOO ,左栢豪 ,"27,000.00",1
,,,
CHOSEN PEOPLE MINISTRIES (HONG KONG) LTD ,選民事工差會有限公司 ,"74,553.00",4
,,,
CHOSEN PROPERTY AGENCY COMPANY LIMITED ,卓昇地產有限公司 ,"182,097.00",9
,,,
CHOTTO CONCEPT LIMITED ,,"147,405.00",6
,,,
"CHOW & HO, SOLICITORS ",何啟德黃淑霞律師行 ,"124,500.00",6
,,,
CHOW CHI KO ,周智高 ,"7,920.00",1
,,,
CHOW CHOW ,,"51,600.00",2
,,,
CHOW KEE GLASS ENGINEERING CO ,周記玻璃工程公司 ,"108,000.00",4
,,,
CHOW KEUNG TRANSPORTATION COMPANY LIMITED ,周強運輸有限公司 ,"199,500.00",9
,,,
CHOW SANG SANG NOMINEES LTD ,周生生代理人有限公司 ,"81,000.00",3
,,,
CHOW TAI FOOK ENTERPRISES LIMITED ,周大福企業有限公司 ,"1,662,600.00",63
,,,
CHOW THERESA LENA ,周廷勵 ,"27,000.00",1
,,,
CHOW YEUNG KEE ,周養記 ,"18,600.00",2
,,,
CHOW'S SUN HING PROPERTY LIMITED ,周氏新興置業有限公司 ,"70,002.00",6
,,,
CHOW'S TRADING & TRANSPORTATION COMPANY LIMITED ,周氏貿易運輸有限公司 ,"27,000.00",1
,,,
CHOY LEE FURNITURE TRADING COMPANY ,財利傢俬貿易公司 ,"69,000.00",4
,,,
CHRIST JOY CHURCH LIMITED ,基督教會基樂堂有限公司 ,"33,240.00",2
,,,
CHRIST TRUE LIGHT CHURCH LIMITED ,基督真光教會有限公司 ,"27,000.00",1
,,,
CHRISTIAN & MISSIONARY ALLIANCE ELIM CHURCH ,基督教宣道會以琳堂 ,"8,250.00",1
,,,
CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL ,宣道會劉平齋紀念國際學校,"270,000.00",10
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CHRISTIAN CENTRAL CHURCH (TSUEN WAN) LIMITED ,基督中心堂(荃灣)有限公司 ,"384,975.00",18
,,,
CHRISTIAN COMMUNICATIONS CONNECTED LTD ,國證網絡有限公司 ,"54,000.00",2
,,,
CHRISTIAN COMMUNICATIONS LIMITED ,福音證主協會 ,"694,842.00",32
,,,
CHRISTIAN ENVIRONMENTAL HEALTH LIMITED ,基雋環境健康有限公司 ,"54,000.00",2
,,,
CHRISTIAN LING LIANG FAMILY ,基督教靈糧之家 ,"26,520.00",2
,,,
CHRISTIAN MINISTRY INSTITUTE LIMITED ,牧職神學院有限公司 ,"386,403.00",16
,,,
CHRISTIAN PAUL SYDNEY LIMITED ,,"162,000.00",5
,,,
CHRISTIAN REHOBOTH CHURCH LIMITED ,基督教利河伯教會有限公司,"48,000.00",3
,,,
CHRISTIAN SAI KUNG CHU YAN HOME OF AGED LIMITED ,,"54,900.00",3
,,,
CHRISTIAN SPIRITUAL ROCK CHURCH LIMITED ,,"285,471.00",21
,,,
CHRISTIAN TIMES LTD ,基督教時代論壇有限公司 ,"264,969.00",11
,,,
CHRISTIAN ZHENG SHENG ASSOCIATION LIMITED ,基督教正生會有限公司 ,"720,159.00",29
,,,
CHRISTINE SIZE FRIENDLY FASHION LIMITED ,,"135,000.00",5
,,,
CHU & CHU CONSULTANCY LIMITED ,永正管理咨詢有限公司 ,"27,000.00",2
,,,
CHU CHAO ,朱超 ,"27,000.00",1
,,,
CHU KONG OPTICAL MANUFACTORY LTD ,珠江眼鏡製造廠有限公司 ,"478,299.00",18
,,,
CHU KWUN KEE ENTERPRISES LIMITED ,朱鈞記企業有限公司 ,"297,000.00",11
,,,
CHU MAN KAI ,朱文楷 ,"18,750.00",1
,,,
CHU NGAR MING ,,"27,000.00",1
,,,
CHU SUN MAN ,朱新文 ,"27,000.00",1
,,,
CHU YUET LING ,,"19,500.00",1
,,,
CHUA SUE WAN ,,"27,000.00",1
,,,
CHUAN PO PO CATERING DEVELOPMENT LIMITED ,川婆婆飲食發展有限公司 ,"181,143.00",7
,,,
CHUANG HING ENGINEERING DEVELOPMENT COMPANY LIMITED ,創興工程發展有限公司 ,"109,950.00",5
,,,
CHUANG HUI (TAK YING) CO LTD ,創匯(得盈)有限公司 ,"76,314.00",3
,,,
CHUANGYU KAIPING ACCESS & SCAFFOLDING LIMITED ,開平創譽棚架設備有限公司,"54,000.00",2
,,,
CHUDAI INTERNATIONAL LIMITED ,,"132,750.00",5
,,,
CHUEN CHEONG CONSTRUCTION CO. LTD. ,,"27,000.00",1
,,,
CHUEN CHUN TONG CHINESE HERBAL LIMITED ,全珍堂生草葯涼茶舖有限公司,"60,000.00",3
,,,
CHUEN FUNG DISPENSARY LIMITED ,銓豐大藥房有限公司 ,"81,000.00",3
,,,
CHUEN FUNG WOODEN DOORS LIMITED ,全豐木業門廠有限公司 ,"110,280.00",5
,,,
CHUEN HING LOONG STEEL COMPANY LIMITED ,全興隆鋼鐵有限公司 ,"15,000.00",2
,,,
CHUEN HING LUNG METAL & PETROLEUM PRODUCTS CO ,全興隆五金石油產品公司 ,"18,000.00",2
,,,
CHUEN HING PAWNSHOP COMPANY LIMITED ,全興押有限公司 ,"81,000.00",3
,,,
CHUEN KAU TYRE & BATTERY COMPANY LIMITED ,全球膠輪電池有限公司 ,"27,000.00",1
,,,
CHUEN KEE LOGISTICS COMPANY ,全記物流公司 ,"18,000.00",3
,,,
CHUEN KEE SIGN COMPANY LIMITED ,全記廣告有限公司 ,"189,000.00",7
,,,
CHUEN SHING INDUSTRIES (HK) CO. LIMITED ,泉成實業(香港)有限公司 ,"54,000.00",2
,,,
CHUEN YUNG PAINT AND DECORATION COMPANY ,全用油飾公司 ,"27,000.00",1
,,,
CHUENMAN SECURITIES LIMITED ,川文證券有限公司 ,"154,500.00",8
,,,
CHUI CHUI BEAUTY ,翠翠美容中心 ,"42,507.00",3
,,,
CHUI FOOK ,聚褔 ,"12,000.00",1
,,,
CHUI HEUNG YUEN BAKERY ,咀香園餅家 ,"32,922.00",3
,,,
CHUIKER SERVICES LIMITED ,趣客生活服務痛限公司 ,"40,500.00",2
,,,
CHUK FAT INVESTMENTS LIMITED ,續發投資有限公司 ,"1,935,525.00",70
,,,
CHUK LING HOBBY SHOP ,卓領模型 ,"40,500.00",2
,,,
CHUK YIP COMPANY ,焯業行 ,"64,650.00",3
,,,
CHUN CHING (HONG KONG) LIMITED ,雋晴(香港)有限公司 ,"104,826.00",6
,,,
CHUN CHOUNG FURNITURE FTY ,駿昌傢俱製造廠 ,"16,500.00",1
,,,
CHUN CHU COFFEE COMPANY LIMITED ,珍珠咖啡有限公司 ,"103,500.00",4
,,,
CHUN FAI AGENCY SERVICES LIMITED ,駿輝代理服務有限公司 ,"27,000.00",1
,,,
CHUN FAT (INTERNATIONAL) BEAUTY GROUP LIMITED ,進發(國際)美容集團有限公司 ,"258,054.00",8
,,,
CHUN FAT PLASTIC BAG PRODUCTS LIMITED ,駿發膠袋制品有限公司 ,"183,750.00",7
,,,
CHUN FU TRAVEL LIMITED ,俊富旅運有限公司 ,"98,775.00",8
,,,
"CHUN FUNG ECO CO., LIMITED ",駿豐環保有限公司 ,"158,937.00",10
,,,
CHUN FUNG KNITTING COMPANY ,俊豐編織公司 ,"22,500.00",1
,,,
CHUN FUNG MOTOR CO LTD ,駿豐車行有限公司 ,"42,000.00",2
,,,
CHUN FUNG TECHNOLOGY (HK) COMPANY LIMITED ,震豐科技(香港)有限公司 ,"54,000.00",2
,,,
CHUN HING GARDENING & LANDSCAPING LIMITED ,振興花園園藝有限公司 ,"198,045.00",9
,,,
CHUN HING LUNG GINSENG MEDICINE CO. ,鎮興隆參茸藥行 ,"27,000.00",1
,,,
CHUN HING TRADING CO ,振興貿易公司 ,"51,750.00",2
,,,
CHUN HING TRANSPORTATION LIMITED ,進興捷運有限公司 ,"133,500.00",10
,,,
CHUN HO (INTERNATIONAL) EDUCATION CENTRE LIMITED ,駿豪(國際)教育中心有限公司 ,"49,950.00",2
,,,
CHUN HO ENGINEERING TRANSPORTATION LIMITED ,俊皓工程運輸有限公司 ,"52,500.00",2
,,,
CHUN HO TRANSPORTATION LIMITED ,駿濠運輸有限公司 ,"93,000.00",5
,,,
CHUN HONG INDUSTRIAL LIMITED ,振雄實業有限公司 ,"27,000.00",1
,,,
CHUN HUNG (CHINA‐HK) TRANSPORTATION LIMITED ,振雄(中港)貨運有限公司 ,"49,500.00",2
,,,
CHUN HUNG FROZEN FOOD COMPANY LIMITED ,俊雄凍肉有限公司 ,"175,965.00",7
,,,
CHUN HUNG LOGISTICS CO. ,鎮鴻物流公司 ,"44,250.00",3
,,,
CHUN KAI INDUSTRIES (HK) LIMITED ,進佳實業(香港)有限公司 ,"216,000.00",8
,,,
"CHUN KEE STATIONERY CO, LTD. ",春記文具有限公司 ,"97,707.00",7
,,,
CHUN KIN DECORATION COMPANY ,竣建裝修公司 ,"27,000.00",1
,,,
CHUN KING (PROFESSIONAL) SANITARY SERVICES LIMITED ,晉景(專業)清潔服務有限公司 ,"223,554.00",15
,,,
CHUN KIT MEDICAL SERVICES CENTRE ,俊傑醫務中心 ,"44,130.00",2
,,,
CHUN KUEN TRANSPORTATION LIMITED ,俊權貨運有限公司 ,"160,500.00",7
,,,
CHUN KWANG PRESS ,真光印務局 ,"48,000.00",2
,,,
CHUN LAI LOGISTICS LIMITED ,駿勵物流有限公司 ,"79,500.00",4
,,,
CHUN LEE MACHINERY COMPANY LIMITED ,駿利機械有限公司 ,"54,000.00",2
,,,
CHUN LEE WORLDTRADE COMPANY LIMITED ,俊利世貿有限公司 ,"94,500.00",4
,,,
CHUN LEI CHRISTIAN MISSION LIMITED ,真理基督教會有限公司 ,"92,250.00",4
,,,
CHUN LUNG INTERNATIONAL COMPANY LIMITED ,珍龍國際有限公司 ,"54,000.00",2
,,,
CHUN MEI CATERING LIMITED ,純美餐飲有限公司 ,"32,703.00",4
,,,
CHUN MEI HONG ,俊美行 ,"22,500.00",1
,,,
CHUN MING ENG LIMITED ,浚明泥水工程有限公司 ,"27,000.00",1
,,,
CHUN SANG MEDICINE COMPANY ,俊生中西藥行 ,"69,342.00",3
,,,
CHUN SHING ACCOUNTING LIMITED ,晉誠會計有限公司 ,"54,000.00",2
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
CHUN SHING PAINTS CO. LTD. ,真誠漆油有限公司 ,"217,236.00",10
,,,
CHUN SHU INDUSTRIAL COMPANY LIMITED ,浚澍實業有限公司 ,"27,000.00",1
,,,
CHUN SING CONSULTANCY INVESTMENT LIMITED ,振聲顧問投資有限公司 ,"45,000.00",2
,,,
CHUN SING WATER MAINTENANCE LIMITED ,駿勝水務有限公司 ,"270,000.00",13
,,,
CHUN SING WATERWORKS SERVICES LIMITED ,進昇水務維修有限公司 ,"1,287,000.00",48
,,,
CHUN SON DEVELOPMENT LIMITED ,俊辰發展有限公司 ,"81,000.00",3
,,,
CHUN SUM PROPERTY DEVELOPMENT LIMITED ,畯森地產發展有限公司 ,"132,000.00",5
,,,
CHUN TAI ROLLING SHUTTER COMPANY ,俊泰捲閘工程公司 ,"27,000.00",1
,,,
CHUN TAT AUTO CAR COMPANY ,駿達汽車維修公司 ,"61,500.00",3
,,,
CHUN TAT CONTAINER TRANSPORTATION CO ,駿達貨櫃運輸公司 ,"15,000.00",1
,,,
CHUN TAT DRIED SEA FOOD ,駿達海味 ,"45,000.00",2
,,,
CHUN TAT ELECTRIC WORKS LIMITED ,進達水電裝修工程有限公司,"54,000.00",2
,,,
CHUN TAT GLOBAL TRADING LIMITED ,駿達環球貿易有限公司 ,"135,000.00",5
,,,
CHUN TAT LOGISTICS & DISTRIBUTION LIMITED ,俊達物流配送有限公司 ,"27,000.00",1
,,,
CHUN TAT MOTOR LIMITED ,駿達汽車工程有限公司 ,"511,500.00",21
,,,
CHUN TAT TRADING COMPANY ,駿達貿易公司 ,"9,000.00",1
,,,
CHUN TIN LOGISTICS (HONG KONG) LIMITED ,振田物流(香港)有限公司 ,"569,475.00",25
,,,
CHUN WA LOGISTICS LIMITED ,晉華物流有限公司 ,"273,345.00",12
,,,
CHUN WAH DEVELOPMENT (HK) CO LIMITED ,進華發展(香港)有限公司 ,"54,000.00",2
,,,
CHUN WAH DEVELOPMENT LIMITED ,振華發展有限公司 ,"108,000.00",4
,,,
CHUN WAI CLEANING SERVICES LIMITED ,駿威清潔服務有限公司 ,"27,000.00",1
,,,
CHUN WAI CRANES LIMITED ,俊偉吊機有限公司 ,"189,000.00",8
,,,
CHUN WO HO COMPANY LIMITED ,慎和號有限公司 ,"945,000.00",35
,,,
CHUN YING CONSTRUCTION LIMITED ,浚盈工程有限公司 ,"873,000.00",39
,,,
CHUN YIP COMPANY ,濬業公司 ,"54,000.00",2
,,,
CHUN YU CARGO TRANSPORTATION (HK) LIMITED ,鎮瑜貨運(香港)有限公司 ,"51,000.00",2
,,,
CHUN YUEN NOODLE SHOP ,珍苑麵家 ,"138,900.00",6
,,,
CHUN YUEN POWDER FTY ,振源粉廠 ,"96,000.00",4
,,,
CHUNG AN INSURANCE SERVICES LTD ,中安保險顧問有限公司 ,"54,000.00",2
,,,
CHUNG BEN FOOD CO. LIMITED ,松本食品有限公司 ,"635,763.00",31
,,,
CHUNG CHAP TRAVEL LIMITED ,中澤旅遊有限公司 ,"68,580.00",4
,,,
CHUNG FAT JEWELLERY LTD ,中發珠寳有限公司 ,"152,850.00",8
,,,
CHUNG FOO KNITTING GARMENTS LIMITED ,中富針織製衣有限公司 ,"97,614.00",7
,,,
CHUNG FU & ASSOCIATES SURVEYS LIMITED ,中富土地測量有限公司 ,"178,200.00",7
,,,
CHUNG HING AIR‐CONDITIONING COMPANY ,中興冷氣水電工程公司 ,"99,000.00",4
,,,
CHUNG HING BUILDING MATERIALS LIMITED ,中興建材有限公司 ,"54,000.00",2
,,,
CHUNG HING DECORATION SUPPLIES LIMITED ,中興裝飾材料有限公司 ,"54,000.00",2
,,,
CHUNG HING FOODS LIMITED ,中興食品有限公司 ,"55,500.00",3
,,,
CHUNG HING GARMENT ACCESSORIES COMPANY LIMITED ,中興製衣配件有限公司 ,"254,994.00",15
,,,
CHUNG HING JADE ,中興玉器 ,"27,000.00",1
,,,
CHUNG HING MEAT WHOLESALE LIMITED ,中興肉食批發有限公司 ,"78,750.00",5
,,,
"CHUNG HING OIL CO., LTD. ",中興石油有限公司 ,"842,814.00",40
,,,
CHUNG HOI SHAN ,,"8,040.00",1
,,,
CHUNG HUI ENVIRONMENTAL SERVICES LIMITED ,中薈環保服務有限公司 ,"367,551.00",19
,,,
"CHUNG HWA AIR‐CONDITIONING CO., LTD. ",中華冷氣機電工程有限公司,"380,400.00",17
,,,
CHUNG HWA BOOK CO (HONG KONG) LTD ,中華書局(香港)有限公司 ,"862,800.00",34
,,,
CHUNG KEE ,忠記 ,"15,000.00",1
,,,
CHUNG KEE DESSERT ,松記糖水店 ,"206,817.00",11
,,,
CHUNG KIN SECRETARY LIMITED ,中建秘書有限公司 ,"24,000.00",2
,,,
CHUNG KIT YING ,鍾潔瑩 ,"27,000.00",1
,,,
CHUNG KWAN HOLDINGS CO LTD ,中群集團有限公司 ,"124,500.00",5
,,,
CHUNG LAI TRADING COMPANY LIMITED ,中麗貿易有限公司 ,"78,450.00",3
,,,
CHUNG LAM DEVELOPMENT CO LTD ,松林發展有限公司 ,"27,000.00",1
,,,
CHUNG LOUNG GARAGE ,翔龍汽車修理 ,"99,000.00",4
,,,
CHUNG LUNG ,中龍運輸公司 ,"54,000.00",2
,,,
CHUNG MEI COMPANY ,中美貿易公司 ,"61,650.00",3
,,,
CHUNG MUI SANG ,,"27,000.00",1
,,,
CHUNG NAM PRINTING COMPANY LIMITED ,中南印刷有限公司 ,"459,000.00",17
,,,
CHUNG NAM RESOURCES LIMITED ,中南資源有限公司 ,"108,000.00",4
,,,
CHUNG NGAI ADVERTISING CO ,祥輝膠片廣告公司 ,"30,000.00",2
,,,
CHUNG NGAI LIMITED ,中藝貿易有限公司 ,"42,000.00",2
,,,
CHUNG PO INVESTMENT AND DEVELOPMENT COMPANY LIMITED ,香港中寶投資發展有限公司,"81,000.00",3
,,,
CHUNG SHING DISPENSARY LIMITED ,忠誠大藥房有限公司 ,"147,000.00",5
,,,
CHUNG SHING EXPRESS CO ,忠誠速遞公司 ,"69,420.00",5
,,,
CHUNG SHING GROUP COMPANY LIMITED ,宗成集團有限公司 ,"155,250.00",6
,,,
CHUNG SHING TRADING CO (MARY) ,中興行(瑪莉) ,"54,006.00",3
,,,
CHUNG SHUN ENGINEERING SERVICES LIMITED ,中信工程服務有限公司 ,"25,200.00",1
,,,
CHUNG TAI EDUCATIONAL PRESS ,中大出版社 ,"445,200.00",17
,,,
CHUNG TAI TONG MEDICINE COMPANY ,中大堂藥業 ,"21,000.00",2
,,,
CHUNG TIN INDUSTRIAL LTD ,中天世紀實業有限公司 ,"42,000.00",2
,,,
CHUNG TING (H.K.) LTD. ,眾鼎(香港)有限公司 ,"132,600.00",4
,,,
CHUNG WAH CHINESE MEDICINE LIMITED ,中醫坊有限公司 ,"175,950.00",8
,,,
CHUNG WAH KITCHEN MACHINE LTD. ,中華廚具設備有限公司 ,"584,142.00",23
,,,
CHUNG WAH METALS (HK) COMPANY LIMITED ,中華金屬(香港)有限公司 ,"127,500.00",7
,,,
CHUNG WAH PLASTIC BAG MANUFACTORY ,中華塑膠袋製造廠 ,"27,000.00",1
,,,
CHUNG WAI CHEMICAL LIMITED ,中偉化工有限公司 ,"411,000.00",16
,,,
CHUNG WO COTTON CO ,忠和棉業公司 ,"10,500.00",1
,,,
CHUNG YUE STEEL GROUP COMPANY LIMITED ,眾裕鋼鐵集團有限公司 ,"496,230.00",20
,,,
CHUNG YUEN BOOK LTD. ,中源圖書有限公司 ,"27,000.00",1
,,,
CHUNG YUNG (ASIA) COMPANY LIMITED ,中融(亞洲)有限公司 ,"27,000.00",1
,,,
CHUNGHON METAL TRADING COMPANY LIMITED ,中瀚金屬貿易有限公司 ,"81,000.00",3
,,,
CHUNGS (ASIA) LIMITED ,晉思(亞洲)有限公司 ,"24,000.00",1
,,,
CHUNG'S ENVIRONMENTAL SERVICES LTD ,忠仔環保斗有限公司 ,"64,500.00",3
,,,
CHUNG'S FURNITURE MANUFACTORY LIMITED ,中記傢俬製造廠有限公司 ,"162,000.00",6
,,,
CHUNG'S RECYCLE INTERNATIONAL LIMITED ,中氏環保國際有限公司 ,"407,748.00",18
,,,
CHUNKY ONION PRODUCTIONS LIMITED ,,"270,000.00",11
,,,
