Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
A.SPEED LOGISTICS INT'L LIMITED ,全達物流國際有限公司 ,"54,000.00",2
,,,
A.W. FABER‐CASTELL (H.K.) LIMITED ,輝栢嘉(香港)有限公司 ,"277,137.00",12
,,,
A/T FREE DESIGN ,,"262,065.00",12
,,,
A1 DIGITAL ,,"369,000.00",14
,,,
A168 LIMITED ,A168 公司 ,"341,247.00",30
,,,
A1818 LIMITED ,,"180,735.00",12
,,,
A1M MANAGEMENT LIMITED ,,"58,200.00",3
,,,
A2 GLOBAL RISK LIMITED ,,"108,000.00",4
,,,
A2 PHARMACEUTICAL LTD. ,,"27,000.00",1
,,,
A2B LIMITED ,,"111,450.00",5
,,,
A‐3 PRODUCTION LIMITED ,艾菲舞台製作有限公司 ,"81,000.00",3
,,,
A4LUTION LIMITED ,,"54,000.00",2
,,,
A88 LIMITED ,A88 有限公司 ,"164,604.00",7
,,,
AA MEDICAL CENTRE LIMITED ,卓越醫療有限公司 ,"85,200.00",4
,,,
AA WORLDWIDE LIMITED ,,"15,000.00",1
,,,
AADT GROUP LIMITED ,迅豐食品貿易有限公司 ,"18,000.00",1
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
AAE EXPRESS (HK) LIMITED ,美亞快遞(香港)有限公司 ,"54,000.00",2
,,,
AAHARN (HONG KONG) LIMITED ,,"592,500.00",23
,,,
AAS INTERNATIONAL PROPERTIES LIMITED ,博華國際物業有限公司 ,"27,000.00",1
,,,
AASHIQ BEAUTY CENTRE ,雅雪美容護膚中心 ,"69,375.00",3
,,,
AASTOCKS LIMITED ,阿斯達克有限公司 ,"861,960.00",32
,,,
AB CIRCLE LIMITED ,小圓點科技有限公司 ,"216,000.00",8
,,,
AB SERVICES LIMITED ,華創服務有限公司 ,"49,500.00",2
,,,
ABACUS CPA LIMITED ,安柏思會計師有限公司 ,"431,712.00",15
,,,
ABACUS L & COMPANY LIMITED ,,"54,000.00",2
,,,
ABAISIAT RAYA (HK) LIMITED ,維亞實業有限公司 ,"18,000.00",1
,,,
ABAKUS LIMITED ,,"27,000.00",1
,,,
ABBA DRIVE E&M CO LIMITED ,天生機電有限公司 ,"37,500.00",2
,,,
ABBAS GEMS (HK) LTD ,阿巴斯寶石(香港)有限公司 ,"120,750.00",5
,,,
ABBY INTERIOR DESIGN LIMITED ,雅比室內設計有限公司 ,"54,000.00",2
,,,
ABC ,,"19,500.00",1
,,,
ABC BANKING CORPORATION LTD ,,"54,000.00",2
,,,
ABC COOKING STUDIO HONG KONG LIMITED ,,"1,949,136.00",97
,,,
ABC FINTECH RECRUITERS LIMITED ,,"22,500.00",1
,,,
ABC LOGISTICS LIMITED ,四通物流有限公司 ,"27,000.00",1
,,,
ABC TELECOMMUNICATION LIMITED ,,"46,500.00",3
,,,
ABC TRAVEL AGENCY COMPANY LIMITED ,ABC旅行社有限公司 ,"27,000.00",1
,,,
ABERDEEN BOAT CLUB LIMITED ,,"1,911,465.00",68
,,,
ABERDEEN PHYSIOTHERAPY CENTRE LIMITED ,香港仔物理治療中心有限公司,"88,275.00",4
,,,
ABICO FASHION CO. LIMITED ,艾碧高服飾有限公司 ,"29,700.00",2
,,,
ABL INTERNATIONAL LOGISTICS LTD ,安保利物流有限公司 ,"27,000.00",1
,,,
ABLE ABILITY LIMITED ,雅峻有限公司 ,"27,000.00",1
,,,
ABLE ART CORPORATION LIMITED ,,"390,300.00",12
,,,
ABLE BILLION ENTERPRISES LIMITED ,億寶企業有限公司 ,"189,000.00",6
,,,
ABLE BILLION TRADING LIMITED ,億正貿易有限公司 ,"15,000.00",2
,,,
ABLE BRIDGE LIMITED ,雅橋有限公司 ,"263,751.00",11
,,,
ABLE CHINA LOGISTICS LIMITED ,中運物流有限公司 ,"153,000.00",6
,,,
ABLE CHOICE LIMITED ,,"27,000.00",2
,,,
ABLE EARN LIMITED ,實得有限公司 ,"27,000.00",1
,,,
ABLE EMPEROR LIMITED ,,"46,500.00",2
,,,
ABLE GRAND INVESTMENT LIMITED ,威浩投資有限公司 ,"27,000.00",1
,,,
ABLE GROUP LIMITED ,寶群有限公司 ,"54,000.00",2
,,,
ABLE HAPPINESS LIMITED ,福幸有限公司 ,"49,500.00",2
,,,
ABLE HILL ASIA LIMITED ,盈峰亞洲有限公司 ,"176,625.00",7
,,,
ABLE INDUSTRIES LTD ,家寶實業有限公司 ,"27,000.00",1
,,,
ABLE LAPIDARY & JEWELRY LIMITED ,怡寶寶石有限公司 ,"46,800.00",4
,,,
